publication_number,title,applicants_original,inventors_original,priority_date,publication_date,publication_year
US-2025050893-A1,Calibration Method and Apparatus ,"Huawei Technologies Co., Ltd.","Jingfang ZHA, Yang Liu, Qiuyuan Tang, Teng Li",5/23/2022,2/13/2025,2025
US-11929612-B2,Server and power management method ,Toyota Jidosha Kabushiki Kaisha,"Shigetaka Hamada, Haruka HIROSE, Yusuke Horii, Toru Nakamura, Takaaki Sano",12/23/2020,3/12/2024,2024
US-2024075840-A1,Power Management System and Power Management Method ,Toyota Jidosha Kabushiki Kaisha,"Osamu Yumita, Yoichi Onishi, Toru Ando, Ikuma SUZUKI, Yu Nagata",9/7/2022,3/7/2024,2024
US-2024174087-A1,"Server and System for Controlling Driving of a Vehicle, and Method Thereof ","Hyundai Motor Company, Kia Corporation","Byeong Wook Jeon, Jung Hwan BANG, Hyung Seuk Ohn, Hee Yeon Nah, Won Seok JEON, Ki Sang Kim, Dong Hoon WON, Dong Hoon Jeong",11/30/2022,5/30/2024,2024
US-2023394190-A1,Method and system to mitigate aquaplaning ,Zf Friedrichshafen Ag,"David Wilson, Pulkit Monga, Srinivas MYSORE",6/6/2022,12/7/2023,2023
US-2024140546-A1,Conveyance system ,"Rivian Ip Holdings, Llc","Fasil Mulatu Kero, Travis J. Cook, Omar EL-QAWASMEH, Benjamin Jacob Pyne",10/28/2022,5/2/2024,2024
US-2022382284-A1,Perception system for assessing relevance of objects in an environment of an autonomous vehicle ,"Argo AI, LLC","G. Peter K. Carr, Fnu Ratnesh Kumar",5/26/2021,12/1/2022,2022
US-2023386263-A1,Automated vehicle communications and servicing system ,"Rivian Ip Holdings, Llc","Choon Lim, Harsh Mujoo",5/27/2022,11/30/2023,2023
US-2024221442-A1,Electronic device for controlling black box mounted in vehicle and operation method thereof ,"Samsung Electronics Co., Ltd.","Jaewoong Lee, Yoongoo NAM, Kiseung HAN",12/29/2022,7/4/2024,2024
US-2024070792-A1,Power management system and power management method ,Toyota Jidosha Kabushiki Kaisha,"Mitsuaki Tomita, Maiko HAYASHI, Miyako SAKAI, Makito MURAMATSU, Hirohiko Taniguchi",8/25/2022,2/29/2024,2024
US-2022246958-A1,Retention amount management system and retention amount management method ,Toyota Jidosha Kabushiki Kaisha,"Nobuyuki Orihashi, Shigeki Kinomura, Tamaki Ozawa, Chiaki Kanda",1/29/2021,8/4/2022,2022
US-2022245737-A1,Retention amount management system and retention amount management method ,Toyota Jidosha Kabushiki Kaisha,"Nobuyuki Orihashi, Shigeki Kinomura, Tamaki Ozawa, Chiaki Kanda",1/29/2021,8/4/2022,2022
US-2024416781-A1,Mobile and Stationed Electrical Vehicles Charging System ,Mutlaq Senhat Z. ALOTAIBI,Mutlaq Senhat Z. ALOTAIBI,6/14/2023,12/19/2024,2024
US-2024070939-A1,Determining a relationship between points-of-interest (poi) and parking lots ,"SafeGraph, Inc.","Ryan Davis, Eugene CHONG",8/31/2022,2/29/2024,2024
US-2024249531-A1,Systems and methods for target assignment for end-to-end three-dimensional (3d) detection ,"Toyota Research Institute, Inc., Toyota Jidosha Kabushiki Kaisha","Dennis Park, Jie Li, Dian Chen, Vitor Guizilini, Adrien D. Gaidon",1/25/2023,7/25/2024,2024
US-2024332579-A1,Fuel cell as an electrolyzer in fuel cell electric vehicles for onboard hydrogen production ,Volvo Truck Corporation,"Gokul Soundararajan, Aswin Ranganathan",3/31/2023,10/3/2024,2024
US-2023410575-A1,Systems and methods for qr code battery health based tracking ,State Farm Mutual Automobile Insurance Company,"Ryan Gross, Matthew S. Megyese, Joseph P. Harr, Scott Thomas Christensen, Vicki King, Shawn Harbaugh",6/16/2022,12/21/2023,2023
US-2024169514-A1,Defect detection in manufactured articles using multi-channel images ,Onto Innovation Inc.,"Longjiang Xiang, Xin Song",11/21/2022,5/23/2024,2024
US-2023021241-A1,Server ,Toyota Jidosha Kabushiki Kaisha,Atsuko Utsumi,7/19/2021,1/19/2023,2023
US-11983661-B2,Device authentication and trust in multi-modal goods delivery ,"Ford Global Technologies, Llc",Venkata Maruthe Ravikumara Sharma Chengalvala,12/20/2021,5/14/2024,2024
US-2025053732-A1,Domain-specific language interpreter and interactive visual interface for rapid screening ,Quixotic Labs Inc.,Sara Itani,,2/13/2025,2025
US-2024394823-A1,Autonomous Driving under User Instructions ,Chian Chiu Li,Chian Chiu Li,6/1/2022,11/28/2024,2024
US-2024194000-A1,Predictive maintenance platform ,"Rivian Ip Holdings, Llc",Christopher R. Conklin,12/8/2022,6/13/2024,2024
US-2023264600-A1,Electrified vehicle and method of controlling battery conditioning therefor ,"Hyundai Motor Company, Kia Corporation",Hyun Soo Park,2/22/2022,8/24/2023,2023
US-2024116383-A1,"Systems, methods, and apparatus for management of on-demand charging or discharging of electrical energy ","Toyota Motor Engineering & Manufacturing North America, Inc., Toyota Jidosha Kabushiki Kaisha",Brian Woods,10/6/2022,4/11/2024,2024
US-2024337999-A1,Data management for adaptive power grid management ,Ge Infrastructure Technology Llc,Jamshid Sharif-Askary,4/6/2023,10/10/2024,2024
US-2024339835-A1,Scout command for adaptive power grid management ,Ge Infrastructure Technlology Llc,Jamshid Sharif-Askary,4/6/2023,10/10/2024,2024
US-2024337998-A1,Operation loop formation for adaptive power grid management ,Ge Infrastructure Technology Llc,Jamshid Sharif-Askary,4/6/2023,10/10/2024,2024
US-2024338781-A1,Asset portfolio for adaptive power grid management ,Ge Infrastructure Technology Llc,Jamshid Sharif-Askary,4/6/2023,10/10/2024,2024
US-2022111843-A1,"Sysetem for speed control of electric bikes , electric scooters, and sign recognition for electric vehicles , autonomous vehicles in cities ,and highways ","Shiv P Verma, Shailen Verma","Shiv P Verma, Shailen Verma",12/24/2020,4/14/2022,2022
US-2024078851-A1,Systems and methods for predicting energy consumption in vehicles ,"Ford Global Technologies, Llc","Kai Wu, Chen Zhang, Zhen Hu, Yan Fu, David McCreadie, Sunil Goyal",9/1/2022,3/7/2024,2024
US-2023128961-A1,Management server and management system ,Toyota Jidosha Kabushiki Kaisha,Tohru Nakamura,10/26/2021,4/27/2023,2023
US-2023324191-A1,"Method, system and vehicle for providing service to a vehicle operator ",Volvo Truck Corporation,"Rafael BASSO, Claes Pihl, Qi Guo",4/7/2022,10/12/2023,2023
US-2024193999-A1,Method and system for dynamically predicting driving range of vehicles ,Hcl Technologies Limited,"Simy Chacko, Venkatesh Shankar, Ramesh GURUSAMY, Jose VINCENT",12/8/2022,6/13/2024,2024
US-2023294540-A1,Propane fueled mobile/portable high-capacity ev charging stations ,"Pioneer Power Solutions, Inc.",Nathan J. Mazurek,3/17/2022,9/21/2023,2023
US-2024351395-A1,Method and system for setting cooling parameters from a peer transport vehicle ,Carrier Corporation,"Subhash Reddy Gopavaram, Srinivasa Reddy Pilli, Pradeep Kumar Sappati, Vinayak Rao Eluri, Ranganath Rachamadugu, Venkata Satya Pratap Kumar Dunna",4/24/2023,10/24/2024,2024
US-2025022285-A1,Method Of Improving Driving Behavior ,"Advanced Automobile Solutions, Ltd.",Mark Miller,7/14/2023,1/16/2025,2025
US-2024075931-A1,Method and apparatus for backward driving assist of vehicle ,"Hyundai Mobis Co., Ltd.","Kyung Sik SHIN, Ji Hyun CHAE, Seung Hyun Kim",9/1/2022,3/7/2024,2024
US-2024396104-A1,Power storage system ,Toyota Jidosha Kabushiki Kaisha,"Jumpei HOSOI, Masashi Kobayashi, Toru Ando",5/23/2023,11/28/2024,2024
US-2024243371-A1,Enhanced Single-Cell Energy Management System ,RJ1 Holdings Inc.,David Daekyum Kim,1/13/2023,7/18/2024,2024
US-11900911-B2,"Occupant detection and identification based audio system with music, noise cancellation and vehicle sound synthesis ","Harman International Industries, Incorporated",Kevin J. Bastyr,4/19/2022,2/13/2024,2024
US-2025013218-A1,Building management system with emission monitoring system ,Tyco Fire & Security Gmbh,"Vineet Binodshanker Sinha, Kristen Sheppard-Guzelaydin, Robbie G. Davis, Katianne Pechauer",9/20/2021,1/9/2025,2025
US-2024329650-A1,System and server ,Toyota Jidosha Kabushiki Kaisha,"Keigo IKEDA, Daiki Yokoyama",3/27/2023,10/3/2024,2024
US-2024329649-A1,System and server ,Toyota Jidosha Kabushiki Kaisha,"Shogo YASUYAMA, Daiki Yokoyama",3/27/2023,10/3/2024,2024
US-2023112872-A1,"Actuator system, vehicle, motion manager, and driver assistance system ",Toyota Jidosha Kabushiki Kaisha,Takahisa HARADA,9/30/2021,4/13/2023,2023
US-2024329656-A1,"Abnormality detection device, detection device, and vehicle ",Toyota Jidosha Kabushiki Kaisha,"Kento IWAHORI, Daiki Yokoyama",3/29/2023,10/3/2024,2024
US-2023192107-A1,"Vehicle control apparatus, vehicle control method, and non-transitory storage medium ",Toyota Jidosha Kabushiki Kaisha,Hiroshi Ueno,12/20/2021,6/22/2023,2023
US-2023289841-A1,"Management system, display device, and incentive display method ",Toyota Jidosha Kabushiki Kaisha,Tateki HANASHIMA,3/14/2022,9/14/2023,2023
US-2024223125-A1,"Polyangular, specular mini-structure for focused, solar-energy-supplied battery ",Solmet Llc,San Cheng,8/26/2022,7/4/2024,2024
US-2024412437-A1,Generative Modeling of Wheel Hub Display Content ,Mercedes-Benz Group AG,"Thomas Albin, Timothy Fenlon",6/9/2023,12/12/2024,2024
US-2024364114-A1,Electricity Supply System ,"Johan BENDIEN, Martin PÖLÖSKEY","Johan BENDIEN, Martin PÖLÖSKEY",2/10/2022,10/31/2024,2024
US-2023253797-A1,Electricity Supply System ,"Johan BENDIEN, Martin PÖLÖSKEY","Johan BENDIEN, Martin PÖLÖSKEY",2/10/2022,8/10/2023,2023
US-2024135754-A1,"Vehicle, method of controlling vehicle, and vehicle control interface box ",Toyota Jidosha Kabushiki Kaisha,"Eisuke ANDO, Mitsuhiro Miura",10/19/2022,4/25/2024,2024
US-2024227864-A9,Middleware software layer for vehicle autonomy subsystems ,"Rivian Ip Holdings, Llc",Kiran Ram Bharwani,10/20/2022,7/11/2024,2024
US-2024348087-A1,Method and system for automated management of charging unit ,Siemens Aktiengesellschaft,"Jitendra Behera, Alexander Dreweke, Saikat Gupta, Geetansh Jain, Arpit Nema, Satyendra Nath Shukla",4/11/2023,10/17/2024,2024
US-2024328799-A1,Information processing apparatus ,Subaru Corporation,"Takahiro KAWASHIRI, Tong Wang, Hiroyuki Akiyama, Go YANAGISAWA, Shotaro Suzuki, Yoshitsugu Inoue",3/27/2023,10/3/2024,2024
US-2024326778-A1,System and methods for in-use nox robustness emission control ,"Ford Global Technologies, Llc","Chris Polonowski, Kyle Pohlkamp, Eric Kurtz, Paul J. Tennison",3/30/2023,10/3/2024,2024
US-2024351596-A1,Method of controlling system limit of a vehicle performing circuit mode ,"Hyundai Motor Company, Kia Corporation","Jin Kyeom Cho, Ho Kyun Chun, Dong Hyeon Woo",4/20/2023,10/24/2024,2024
US-2024353864-A1,Server and operation system ,Toyota Jidosha Kabushiki Kaisha,Kenji Kondo,4/21/2023,10/24/2024,2024
US-12142090-B2,Battery diagnosis apparatus for vehicle and method thereof ,"Hyundai Motor Company, Kia Corporation","Jae Shin Yi, Sang Jin Park, Hyun Jun JANG, Tae Kyu Kang, Byung Soo Park, Woo Sung Kim, Soo Youn Park",3/21/2022,11/12/2024,2024
US-2024326774-A1,Vehicle ,Toyota Jidosha Kabushiki Kaisha,"Ikuma SUZUKI, Haruki Oguri",3/27/2023,10/3/2024,2024
US-2023406639-A1,System and method for local tube transport ,Kenton Brett,Kenton Brett,4/29/2022,12/21/2023,2023
US-2024067009-A1,Power management system and power management method ,Toyota Jidosha Kabushiki Kaisha,Shunsuke Kobuna,8/30/2022,2/29/2024,2024
US-2024380210-A1,Power supply and demand system ,Toyota Jidosha Kabushiki Kaisha,"Keigo IKEDA, Daiki Yokoyama",5/10/2023,11/14/2024,2024
US-2024025295-A1,Information processing method and information processing system ,"Panasonic Intellectual Property Management Co., Ltd.","Shinya Nishikawa, Changhui Yang, Takashi Iida",7/14/2020,1/25/2024,2024
US-12194880-B1,Reserving a charging station ,"Toyota Motor North America, Inc., Toyota Jidosha Kabushiki Kaisha","Christopher E. Yang, James G. Swartz, James D. Wilder",2/1/2024,1/14/2025,2025
US-2024116511-A1,Multi-policy lane change assistance for vehicle ,"Atieva, Inc.","Pinaki Gupta, Kshitij Tukaram Kumbar, Ajeet Ulhas Wankhede",10/11/2022,4/11/2024,2024
US-2024412567-A1,"In-vehicle network access method and device, storage medium and chip ","Xiaomi Ev Technology Co., Ltd.","Suyu PEI, Xin Liang, Zhibo CHANG",6/12/2023,12/12/2024,2024
US-2024246561-A1,Server and Operation System ,Toyota Jidosha Kabushiki Kaisha,Kenji Kondo,1/23/2023,7/25/2024,2024
US-2024338331-A1,Autarchical power domains for executing minimal risk conditions ,Ghost Autonomy Inc.,"Arpita Ghosh Dastidar, Riaz Ali, Par Botes",4/4/2023,10/10/2024,2024
US-2023079506-A1,"Motion manager, vehicle, vehicle control method, and non-transitory storage medium ",Toyota Jidosha Kabushiki Kaisha,"Yoshihisa Yamada, Kazuki MIYAKE, Wataru KANDA",9/14/2021,3/16/2023,2023
US-2024029564-A1,"Parking lot management method, storage medium, and computer device ",Toyota Jidosha Kabushiki Kaisha,"Hisashi FUJISAWA, Shigeki Kinomura, Atsushi OKI, Hiroki TAKABATAKE, Hiromitsu Fujii",7/21/2022,1/25/2024,2024
US-2023366707-A1,Sensor-embedded composites ,"Tpi Composites, Inc.","Addis Tessema, John Perraut, McKevin Veloso, Paul Roehm, Jonathan M. Cabot, Michael Lerman, Scott Larson, Satya Immani",5/13/2022,11/16/2023,2023
US-11880324-B2,Battery data translator ,Caterpillar Inc.,Gregory S Hasler,6/21/2021,1/23/2024,2024
US-2023150525-A1,Dynamic sensor model to adapt vehicle modifications and transformation ,"Ford Global Technologies, Llc","Mahmoud Y. Ghannam, Jonathan Engels",11/17/2021,5/18/2023,2023
US-2023384107-A1,System for vehicle route optimization using visibility condition ,"Ford Global Technologies, Llc","Stuart C. Salter, Brendan F. Diamond, Annette Lynn Huebner, Pietro Buttolo, Lucretia Williams",5/24/2022,11/30/2023,2023
US-2024037589-A1,Server and system ,Toyota Jidosha Kabushiki Kaisha,"Takashi Matsumoto, Keiko Hasegawa, Masashi Takahashi, Tohru Nakamura, Ai Miyata",8/1/2022,2/1/2024,2024
US-2024175933-A1,Predictive battery health detection from pack soaking behavior ,GM Global Technology Operations LLC,"Yusheng Zou, Ibrahim Haskara, Bharatkumar Hegde, Chunhao J Lee",11/30/2022,5/30/2024,2024
US-2024312130-A1,"Systems, apparatus, articles of manufacture, and methods for location-aware virtual reality ",Intel Corporation,"Stephen Palermo, Bhupesh Agrawal, Valerie Parker",1/20/2022,9/19/2024,2024
US-2022388416-A1,"Information processing device, information processing method, and information system ",Toyota Jidosha Kabushiki Kaisha,"Yu Nagata, Toshihiro Nakamura",6/4/2021,12/8/2022,2022
US-2022379927-A1,Connected systems based on contextually aware dynamic visual indicators ,"At&T Intellectual Property I, L.P.","Roger D. Wickes, James H. Pratt, Zhi Cui, Eric Zavesky",5/25/2021,12/1/2022,2022
US-2024069543-A1,Vehicle remote guidance system ,"Ford Global Technologies, Llc",Oliver Nölle,8/31/2022,2/29/2024,2024
US-2023410469-A1,Systems and methods for image classification using a neural network combined with a correlation structure ,"Ford Global Technologies, Llc","Thomas Muehlenstaedt, Jelena Frtunikj",6/17/2022,12/21/2023,2023
US-2024317340-A1,"Control system, server, and vehicle ",Toyota Jidosha Kabushiki Kaisha,"Shogo YASUYAMA, Daiki Yokoyama",3/23/2023,9/26/2024,2024
US-2023014442-A1,Methods and apparatus to correct for steering wheel rotation ,"Ford Global Technologies, Llc","Miguel A. Bahena, Andrew Brow, Rachel Dockstader, Michael Puleri, William James Bouse",7/19/2021,1/19/2023,2023
US-2024086980-A1,Server And Control Method Thereof ,"Hyundai Motor Company, Kia Corporation",Seungwoo Ha,9/13/2022,3/14/2024,2024
US-2024319277-A1,Anomalous battery node detection and mitigation system ,"Element Energy, Inc.","Chandan Gope, Kevin Yiwei Zhao, William Joseph Judge, Yoosok SAW",3/22/2023,9/26/2024,2024
US-2024336155-A1,Charging pile ,Luxshare Precision Industry Company Limited,Guanhsiung Wang,4/6/2023,10/10/2024,2024
US-2024319278-A1,Fault detection in a battery system ,"Element Energy, Inc.","Chandan Gope, Kevin Yiwei Zhao, William Joseph Judge, Yoosok SAW",3/22/2023,9/26/2024,2024
US-12123384-B1,User device vehicle charger strategy ,"Ford Global Technologies, Llc","Stuart C. Salter, Jessica Louise Smith, Todd Ansbacher, David Celinske, Brendan F. Diamond, Leann Kridner",12/8/2023,10/22/2024,2024
US-2024310844-A1,"Automatic driving system, server, and vehicle ",Toyota Jidosha Kabushiki Kaisha,"Daiki Yokoyama, Yasuhiro Saito",3/14/2023,9/19/2024,2024
US-2023163594-A1,Management server and management method ,Toyota Jidosha Kabushiki Kaisha,Toru Nakamura,11/22/2021,5/25/2023,2023
US-2024393212-A1,Inspection method for moving object ,Toyota Jidosha Kabushiki Kaisha,"Kento IWAHORI, Daiki Yokoyama",5/25/2023,11/28/2024,2024
US-2024304045-A1,Information processing system ,Toyota Jidosha Kabushiki Kaisha,Satoshi Uno,3/9/2023,9/12/2024,2024
US-11831181-B2,Power feed system for evaluating placement benefits of power feed mat ,Toyota Jidosha Kabushiki Kaisha,"Daiki Yokoyama, Toshiya Hashimoto, Katsuya Kobayashi, Takahiro Hirano, Midori SUGIYAMA, Ryunosuke YAMASHITA",7/8/2021,11/28/2023,2023
US-2025053145-A1,System estimator with load operation scheduling for an energy generation and/or storage system ,"Enphase Energy, Inc.","Sandeep Pabbathi, Jinendra Kacharulal GUGALIYA, Narasimha Swamy NELAKUDITI",8/11/2023,2/13/2025,2025
US-2025005910-A1,"Electronic device, method, and non-transitory computer readable storage medium for obtaining labeling information for training of neural network ",Thinkware Corporation,"Haejun JUNG, Dongwon Shin, Sukpil KO",6/30/2023,1/2/2025,2025
US-2024391457-A1,Vehicle control apparatus ,Mitsubishi Electric Corporation,"Kenta TOMINAGA, Kazuhiro Nishiwaki, Yuko Omagari, Mizuho Wakabayashi, Yuichi Okura, Junya Hattori",5/25/2023,11/28/2024,2024
US-2023202332-A1,"Electronic device that manages energy with a simplified button operation, an operation method thereof ",Electronics And Telecommunications Research Institute,Seok-Jin Lee,12/23/2021,6/29/2023,2023
US-2025046794-A1,Coated Single Crystalline Metal Oxide Materials and Method for Producing The Same ,"Action Battery Technologies, L.L.C.","Jin-Myoung LIM, Benjamin Cape Jacobs, Rodney Dwagne C. Alvarez, Jose Emilio Frausto-Lopez",8/4/2023,2/6/2025,2025
US-2024416787-A1,Systems and methods to improve transportation efficiencies ,"Ford Global Technologies, Llc","Dominique Meroux, Kai Wu, Chen Zhang",6/13/2023,12/19/2024,2024
US-2023259894-A1,"Computer, car sharing system, and car sharing method ",Toyota Jidosha Kabushiki Kaisha,"Ryosuke Kobayashi, Tomokazu MAYA, Tsuyoshi Okada, Hiromitsu Fujii",1/28/2022,8/17/2023,2023
US-2024109596-A1,Roof Structure for Vehicle ,"Hyundai Motor Company, Kia Corporation","Chan Woong Jeon, Youngrock Kim, HaeHoon Lee, ChangHak Kang, Sang Kyoung Han, Kwangok Han",10/4/2022,4/4/2024,2024
US-2023382464-A1,Vehicle Roof Structure ,"Hyundai Motor Company, Kia Corporation","Chulhee Heo, Chan Woong Jeon, HaeHoon Lee, ChangHak Kang",5/30/2022,11/30/2023,2023
US-2024356353-A1,Charging system and charging method ,Toyota Jidosha Kabushiki Kaisha,"Kento IWAHORI, Daiki Yokoyama",4/21/2023,10/24/2024,2024
US-11982349-B2,"Control system, control device, control method, and non-transitory storage medium ",Toyota Jidosha Kabushiki Kaisha,"Kazuki MIYAKE, Wataru KANDA",6/3/2022,5/14/2024,2024
US-2023187713-A1,Intelligent multi-cell battery assembly and method ,Volvo Car Corporation,"Jonas Forssell, Angela Gong, Jonas BJORKHOLTZ",12/14/2021,6/15/2023,2023
US-2024419166-A1,Fleet migration management systems and methods ,"Ford Global Technologies, Llc","Stuart C. Salter, Sanjay Dayal, Pietro Buttolo, Ryan O'Gorman, Brendan Diamond, Peter Phung",6/13/2023,12/19/2024,2024
US-2023259845-A1,Information processing method and information processing system ,"Panasonic Intellectual Property Management Co., Ltd.","Shinya Nishikawa, Changhui Yang, Atsuyoshi KITA",7/9/2020,8/17/2023,2023
US-2024375543-A1,Systems and Methods for Providing Energy Management Service Linked with Autonomous Driving ,"Lg Energy Solution, Ltd.","Jin Woo Lee, Sung Soo Hong, Dong Myung Kim, Hyuk Sung Chung",5/11/2023,11/14/2024,2024
US-2023237858-A1,Vehicle management device and vehicle management method ,Toyota Jidosha Kabushiki Kaisha,"Ryosuke Kobayashi, Tomokazu MAYA, Tsuyoshi Okada, Hiromitsu Fujii",1/24/2022,7/27/2023,2023
US-2024199050-A1,Increasing operator vigilance by modifying longitudinal vehicle dynamics ,"Woven Alpha, Inc.","Manuel Ludwig Kuehner, Hiroshi Yasuda",12/20/2022,6/20/2024,2024
US-2024379000-A1,Traffic planning method for a vehicle fleet ,Volvo Autonomous Solutions AB,"Jonas Hellgren, Stefan Kojchev",5/12/2023,11/14/2024,2024
US-2023202577-A1,Front Vehicle Body Structure ,"Hyundai Motor Company, Kia Corporation","Chang Hak Kang, Chan Woong Jeon, Chulhee Heo, HaeHoon Lee",12/27/2021,6/29/2023,2023
US-2023294515-A1,"Actuator system, vehicle, and vehicle control method ",Toyota Jidosha Kabushiki Kaisha,Takahisa HARADA,3/16/2022,9/21/2023,2023
US-2024109540-A1,Verification of the origin of abnormal driving ,"Toyota Motor Engineering & Manufacturing North America, Inc., Toyota Jidosha Kabushiki Kaisha","Seyhan Ucar, Tomohiro Matsuda, Emrah Akin Sisbot, Kentaro Oguchi",10/4/2022,4/4/2024,2024
US-2024264587-A1,"System, method of manufacturing vehicle, server, vehicle, and power feeder ",Toyota Jidosha Kabushiki Kaisha,"Keigo IKEDA, Daiki Yokoyama",2/8/2023,8/8/2024,2024
US-2024054822-A1,Methods and systems for managing data storage in vehicle operations ,"Argo AI, LLC","Daniel Alfonsetti, John Russell Lepird",8/11/2022,2/15/2024,2024
US-2023202583-A1,Vehicle Body Joint Structure ,"Hyundai Motor Company, Kia Corporation",Won Ki SONG,12/27/2021,6/29/2023,2023
US-2024025423-A1,Method and apparatus for estimating stress on a vehicle base plate ,"Ford Global Technologies, Llc","Stuart C. Salter, David Brian Glickman, Brendan Diamond, William Wurz, Shawn Ferret, William Jackson",7/21/2022,1/25/2024,2024
US-2024330991-A1,Tailored Communications Based On Consumer Information ,Google Llc,"Yan Mayster, Bruce Bahnsen",3/28/2023,10/3/2024,2024
US-2024067044-A1,Method for generating matrix data for convolutional neural network and learning system using convolutional neural network ,Toyota Jidosha Kabushiki Kaisha,Kazuyuki Sasaki,8/31/2022,2/29/2024,2024
US-2023382358-A1,"Control device, control system, and control method ",Toyota Jidosha Kabushiki Kaisha,"Kazuki MIYAKE, Wataru KANDA",5/26/2022,11/30/2023,2023
US-2024104397-A1,Time-series data processing method and processing device ,Toyota Jidosha Kabushiki Kaisha,Kazuyuki Sasaki,9/27/2022,3/28/2024,2024
US-2024250533-A1,Systems and methods for making electrical devices more flexible to overcome behind-the-meter infrastructure constraints ,"Stepwise Electric, Inc.","Austin Hunt, Jane Chen, Ethan Brewer",1/20/2023,7/25/2024,2024
US-11544983-B1,System and method to authorize the use of a BEV charging apparatus by a short-term renter ,"Ford Global Technologies, Llc","Stuart C. Salter, Pietro Buttolo, Annette Lynn Huebner, David Kennedy, Hussein Berry",9/30/2021,1/3/2023,2023
US-2025030067-A1,Charging method and charging system ,Toyota Jidosha Kabushiki Kaisha,Kazuki IWAMA,7/21/2023,1/23/2025,2025
US-2023135613-A1,Product Integrated Manufacturing of Emission Free Vehicles ,Industrial Project Innovation,Douglas Herbert Bartow,11/2/2021,5/4/2023,2023
US-2025048111-A1,Smart device access controller and methods ,State Farm Mutual Automobile Insurance Company,Alexander Cardona,8/1/2023,2/6/2025,2025
US-2024144452-A1,Apparatus and method with contamination detection of camera lens ,"Samsung Electronics Co., Ltd.","Jaewook YOO, Youngwan Seo, Dokwan OH, Dasol HAN",11/2/2022,5/2/2024,2024
US-2024265916-A1,System and method for description based question answering for vehicle feature usage ,Cerence Operating Company,"Nils MÖNNING, Zile LI, Reinhard Blasig, Chi Hang, Kuldeep Singh",2/2/2023,8/8/2024,2024
US-11884204-B1,Operator vigilance using disengagements and headlight modifications ,"Woven By Toyota, Inc.","Manuel Ludwig Kuehner, Hiroshi Yasuda",1/12/2023,1/30/2024,2024
US-2023166772-A1,"Motion manager, autonomous driving apparatus, and control system ",Toyota Jidosha Kabushiki Kaisha,Hiroshi Ueno,11/30/2021,6/1/2023,2023
US-2024291278-A1,Systems and methods for microgrid energy management ,Sunnova Energy International Inc.,Shankar V. Achanta,2/24/2023,8/29/2024,2024
US-2023078874-A1,Computer and electricity adjustment method ,Toyota Jidosha Kabushiki Kaisha,Takaaki Sano,9/13/2021,3/16/2023,2023
US-2024149783-A1,Vehicle front alert system ,"Pedestrian Safety Solutions, Llc",Paul L. Schaye,1/12/2022,5/9/2024,2024
US-2023249615-A1,Vehicle front alert system ,"Pedestrian Safety Solutions, Llc",Paul L. Schaye,1/12/2022,8/10/2023,2023
US-2023367688-A1,"Cloud-based mobility digital twin for human, vehicle, and traffic ","Toyota Motor Engineering & Manufacturing North America, Inc., Toyota Jidosha Kabushiki Kaisha","Ziran Wang, Rohit Gupta, Kyungtae Han, Prashant Tiwari",5/13/2022,11/16/2023,2023
US-2024280365-A1,Systems and methods for correcting vehicle position estimations based on landmarks detected in an environment ,"Toyota Motor Engineering & Manufacturing North America, Inc, Toyota Jidosha Kabushiki Kaisha","Takamasa HIGUCHI, Kentaro Oguchi",2/22/2023,8/22/2024,2024
US-2021253167-A1,Vehicle Steering Control System ,Steering Solutions Ip Holding Corporation,Abhishek Pathak,2/13/2020,8/19/2021,2021
US-2024409154-A1,Vehicle steering system diagnostics tool ,Steering Solutions Ip Holding Corporation,"Andrew J. Frank, Peter D. Schmitt, Sayedmohammad Hosseini",6/12/2023,12/12/2024,2024
US-2023339555-A1,"Load balancing systems and methods, and self-balancing trailers ","Stream It, Inc.","Lance M. King, Zach RADKEY-PECHACEK, Nathan Swanson, Timothy WULFF",4/22/2022,10/26/2023,2023
US-2023278257-A1,Direct charge concrete mixer ,Oshkosh Corporation,Bryan Datema,3/2/2022,9/7/2023,2023
US-2023186688-A1,Systems and methods for generating and providing fluid analysis reports ,Cummins Inc.,"James Hone, Ryan E. Denton, Chung-Hsuan Huang, Todd B. Reel, Justin W. Perry, Phillip E. Shelton, Corey W. Trobaugh",12/13/2021,6/15/2023,2023
US-2023373333-A1,Charging port alignment methods and apparatus for robotic car chargers ,"Procom Engineering, Inc.","Wesley Zhou, Shepherd Darquea, Morgan Simpson",5/19/2022,11/23/2023,2023
US-2024391405-A1,Vehicle power outlet advisory system ,"Ford Global Technologies, Llc","Brendan Diamond, Stuart C. Salter, John Robert Van Wiemeersch, Keith Weston",5/26/2023,11/28/2024,2024
US-2023382461-A1,Front Pillar Structure of Vehicle ,"Hyundai Motor Company, Kia Corporation","Yoonkyoung Han, Heedae Oh, Jung Jong Chun, Joonghyun Shin",5/31/2022,11/30/2023,2023
US-2023144289-A1,Ai-based input output expansion adapter for a telematics device ,Geotab Inc.,"William John Ballantyne, Javed Siddique",11/5/2021,5/11/2023,2023
US-2024270236-A1,Vehicle parking assist system and method ,"Ford Global Technologies, Llc","Mahmoud Yousef Ghannam, Aed Dudar",2/10/2023,8/15/2024,2024
US-2022076445-A1,"Information management system, and in-vehicle device, portable device, and image management server used therein ",Toyota Jidosha Kabushiki Kaisha,"Katsuhiko Iwazaki, Yu Watanabe",9/9/2020,3/10/2022,2022
